Mfr Part Number (Input),Quantity 1,Mfr Part Number,Mouser Part Number,Manufacturer Name,Description,Unit Price 1,Order Quantity,Order Unit Price,Min./Mult.,Availability,Lead Time in Days,Lead Time in Weeks,Lifecycle,NCNR,RoHS,Pb Free,Package Type,Package Quantity,Datasheet URL,Product Image,Design Risk
REF1930AIDDCT,1,REF1930AIDDCT,595-REF1930AIDDCT,Texas Instruments,Voltage References Voltage References Dual Output Vref & Vref/2 Voltage Ref,$3.45,1,$3.45,1\1,"3,803",420,60,,No,Yes,No,REEL,250,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/ref1925,,Product has high popularity and is readily available.
LTC2315ITS8-12#TRMPBF,1,LTC2315ITS8-12#TRMPBF,584-C2315ITS8-12TMPF,Analog Devices Inc.,"Analog to Digital Converters - ADC Analog to Digital Converters - ADC 12-B, 5Msps Serial Smpl ADC in TSOT",$14.97,1,$14.97,1\1,"6,964",277,40,,No,Yes,Yes,REEL,500,https://www.mouser.com/datasheet/2/609/231512fa-3125052.pdf,,Product has high popularity and is readily available.
OPA2196ID,1,OPA2196ID,595-OPA2196ID,Texas Instruments,"Operational Amplifiers - Op Amps Operational Amplifiers - Op Amps Dual, 36V, Low Power, All-Purpose Amplifier with MUX-Friendly Input 8-SOIC -40 to 125",$2.87,1,$2.87,1\1,"21,988",776,111,,No,Yes,No,TUBE,75,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/opa4196,,Product has high popularity and is readily available.
INA186A3IDDFT,1,INA186A3IDDFT,595-INA186A3IDDFT,Texas Instruments,"Current Sense Amplifiers Current Sense Amplifiers 40V, bi-directional, high-precision current sense amplifier w/ picoamp IB & ENABLE 8-SOT-23-THIN -40 to 125",$1.67,1,$1.67,1\1,"1,620",42,6,,No,Yes,Yes,REEL,250,https://www.ti.com/lit/pdf/sboa192b,,Product has moderate popularity and is readily available.
CRCW08051K50JNEB,1,CRCW08051K50JNEB,71-CRCW08051K50JNEB,Vishay,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/8watt 1.5Kohms 5%,$0.10,1,$0.10,1\1,"49,800",84,12,,No,Yes,No,REEL,"10,000",https://www.vishay.com/doc?20035,,Product has moderate popularity and is readily available.
MCU08050C4999FP500,1,MCU08050C4999FP500,594-MCU08050C4999FP5,Vishay,Thin Film Resistors - SMD Thin Film Resistors - SMD .125W 49.9ohm 1% 0805 50ppm,$0.38,1,$0.38,1\1,"6,490",84,12,,No,Yes,Yes,REEL,"5,000",https://www.vishay.com/doc?28705,,Product has moderate popularity and is readily available.
CRCW080510K0FKEAC,2,CRCW080510K0FKEAC,71-CRCW080510K0FKEAC,Vishay,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/8Watt 10Kohms 1% Commercial Use,$0.10,2,$0.10,1\1,"799,174",191,28,,No,Yes,No,REEL,"5,000",https://www.vishay.com/doc?28773,,Product has high popularity and is readily available.
CRCW08051K20FKEA,2,CRCW08051K20FKEA,71-CRCW08051K20FKEA,Vishay,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/8watt 1.2Kohms 1%,$0.10,2,$0.10,1\1,"18,633",84,12,,No,Yes,No,REEL,"5,000",https://www.vishay.com/doc?20035,,Product has high popularity and is readily available.
53307-2071,1,53307-2071,538-53307-2071,Molex,Board to Board & Mezzanine Connectors Board to Board & Mezzanine Connectors .8MM HDR 02X10P VT SMT,$2.36,1,$2.36,1\1,"2,271",,,,No,Yes,No,REEL,"1,000",https://tools.molex.com/pdm_docs/sd/533072071_sd.pdf,,Product has high popularity and is readily available.
BLM21BD182SN1D,2,BLM21BD182SN1D,81-BLM21BD182SN1D,Murata,Ferrite Beads Ferrite Beads 1800 OHM 5% Alternate Sizing Guide Below,$0.17,2,$0.17,1\1,"58,209",112,16,,No,Yes,No,REEL,"4,000",https://www.mouser.com/datasheet/2/281/1/mure_s_a0010614356_1-2279078.pdf,,Product has high popularity and is readily available.
APTD2012LCGCK,1,APTD2012LCGCK,604-APTD2012LCGCK,Kingbright,Standard LEDs - SMD Standard LEDs - SMD 0805 Dome Lens LED Green- 570nm,$0.40,1,$0.40,1\1,"21,938",56,8,,No,Yes,Yes,REEL,"3,000",https://www.mouser.com/datasheet/2/216/APTD2012LCGCK-1102037.pdf,,Product has high popularity and is readily available.
BZX38450-C3V0X,1,BZX38450-C3V0X,771-BZX38450-C3V0X,Nexperia,Zener Diodes Zener Diodes BZX38450-C3V0/SOD323/SOD2,$0.23,1,$0.23,1\1,"10,346",28,4,,No,Yes,No,REEL,"3,000",https://www.mouser.com/datasheet/2/916/BZX38450_SER-2580605.pdf,,Product has high popularity and is readily available.
C0805C104M5RACTU,3,C0805C104M5RACTU,80-C0805C104M5R,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 20%,$0.10,3,$0.10,1\1,"2,141,933",119,17,,No,Yes,Yes,REEL,"4,000",https://www.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf,,Product has high popularity and is readily available.
C0805C470JAGACAUTO,1,C0805C470JAGACAUTO,80-C0805C470JAGAUTO,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 250Vo 47pF C0G 0805 5% AEC-Q200,$0.31,1,$0.31,1\1,"7,414",120,18,New Product,No,Yes,Yes,REEL,"4,000",https://www.mouser.com/datasheet/2/447/KEM_C1022_C0G_AUTO_SMD-3316328.pdf,,Product is new and is readily available.
C0805C474K3RAC,1,C0805C474K3RAC,80-C0805C474K3RAC,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.47uF X7R 0805 10%,$0.22,1,$0.22,1\1,"15,211",70,10,,No,Yes,Yes,REEL,"2,500",https://www.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf,,Product has high popularity and is readily available.
UMK212ABJ225KG-T,4,UMK212ABJ225KG-T,963-UMK212ABJ225KG-T,TAIYO YUDEN,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT SUGGESTED ALTERNATE UMK107BBJ225KA-T,$0.23,4,$0.23,1\1,"46,066",238,34,Not Recommended for New Designs,No,Yes,Yes,REEL,"3,000",https://www.mouser.com/datasheet/2/396/mlcc02_e-1307760.pdf,,Product is not recommended for a new design.
C0805C105K5PACTU,4,C0805C105K5PACTU,80-C0805C105K5P,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X5R 0805 10%,$0.36,4,$0.36,1\1,"11,065",154,22,,No,Yes,Yes,REEL,"2,500",https://www.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf,,Product has moderate popularity and is readily available.
